"","value","lanina","elnino","enso"
"152",1950-06-01,1,0,"La Nina"
"153",1950-06-02,1,0,"La Nina"
"154",1950-06-03,1,0,"La Nina"
"155",1950-06-04,1,0,"La Nina"
"156",1950-06-05,1,0,"La Nina"
"157",1950-06-06,1,0,"La Nina"
"158",1950-06-07,1,0,"La Nina"
"159",1950-06-08,1,0,"La Nina"
"160",1950-06-09,1,0,"La Nina"
"161",1950-06-10,1,0,"La Nina"
"162",1950-06-11,1,0,"La Nina"
"163",1950-06-12,1,0,"La Nina"
"164",1950-06-13,1,0,"La Nina"
"165",1950-06-14,1,0,"La Nina"
"166",1950-06-15,1,0,"La Nina"
"167",1950-06-16,1,0,"La Nina"
"168",1950-06-17,1,0,"La Nina"
"169",1950-06-18,1,0,"La Nina"
"170",1950-06-19,1,0,"La Nina"
"171",1950-06-20,1,0,"La Nina"
"172",1950-06-21,1,0,"La Nina"
"173",1950-06-22,1,0,"La Nina"
"174",1950-06-23,1,0,"La Nina"
"175",1950-06-24,1,0,"La Nina"
"176",1950-06-25,1,0,"La Nina"
"177",1950-06-26,1,0,"La Nina"
"178",1950-06-27,1,0,"La Nina"
"179",1950-06-28,1,0,"La Nina"
"180",1950-06-29,1,0,"La Nina"
"181",1950-06-30,1,0,"La Nina"
"182",1950-07-01,1,0,"La Nina"
"183",1950-07-02,1,0,"La Nina"
"184",1950-07-03,1,0,"La Nina"
"185",1950-07-04,1,0,"La Nina"
"186",1950-07-05,1,0,"La Nina"
"187",1950-07-06,1,0,"La Nina"
"188",1950-07-07,1,0,"La Nina"
"189",1950-07-08,1,0,"La Nina"
"190",1950-07-09,1,0,"La Nina"
"191",1950-07-10,1,0,"La Nina"
"192",1950-07-11,1,0,"La Nina"
"193",1950-07-12,1,0,"La Nina"
"194",1950-07-13,1,0,"La Nina"
"195",1950-07-14,1,0,"La Nina"
"196",1950-07-15,1,0,"La Nina"
"197",1950-07-16,1,0,"La Nina"
"198",1950-07-17,1,0,"La Nina"
"199",1950-07-18,1,0,"La Nina"
"200",1950-07-19,1,0,"La Nina"
"201",1950-07-20,1,0,"La Nina"
"202",1950-07-21,1,0,"La Nina"
"203",1950-07-22,1,0,"La Nina"
"204",1950-07-23,1,0,"La Nina"
"205",1950-07-24,1,0,"La Nina"
"206",1950-07-25,1,0,"La Nina"
"207",1950-07-26,1,0,"La Nina"
"208",1950-07-27,1,0,"La Nina"
"209",1950-07-28,1,0,"La Nina"
"210",1950-07-29,1,0,"La Nina"
"211",1950-07-30,1,0,"La Nina"
"212",1950-07-31,1,0,"La Nina"
"213",1950-08-01,1,0,"La Nina"
"214",1950-08-02,1,0,"La Nina"
"215",1950-08-03,1,0,"La Nina"
"216",1950-08-04,1,0,"La Nina"
"217",1950-08-05,1,0,"La Nina"
"218",1950-08-06,1,0,"La Nina"
"219",1950-08-07,1,0,"La Nina"
"220",1950-08-08,1,0,"La Nina"
"221",1950-08-09,1,0,"La Nina"
"222",1950-08-10,1,0,"La Nina"
"223",1950-08-11,1,0,"La Nina"
"224",1950-08-12,1,0,"La Nina"
"225",1950-08-13,1,0,"La Nina"
"226",1950-08-14,1,0,"La Nina"
"227",1950-08-15,1,0,"La Nina"
"228",1950-08-16,1,0,"La Nina"
"229",1950-08-17,1,0,"La Nina"
"230",1950-08-18,1,0,"La Nina"
"231",1950-08-19,1,0,"La Nina"
"232",1950-08-20,1,0,"La Nina"
"233",1950-08-21,1,0,"La Nina"
"234",1950-08-22,1,0,"La Nina"
"235",1950-08-23,1,0,"La Nina"
"236",1950-08-24,1,0,"La Nina"
"237",1950-08-25,1,0,"La Nina"
"238",1950-08-26,1,0,"La Nina"
"239",1950-08-27,1,0,"La Nina"
"240",1950-08-28,1,0,"La Nina"
"241",1950-08-29,1,0,"La Nina"
"242",1950-08-30,1,0,"La Nina"
"243",1950-08-31,1,0,"La Nina"
"244",1950-09-01,1,0,"La Nina"
"245",1950-09-02,1,0,"La Nina"
"246",1950-09-03,1,0,"La Nina"
"247",1950-09-04,1,0,"La Nina"
"248",1950-09-05,1,0,"La Nina"
"249",1950-09-06,1,0,"La Nina"
"250",1950-09-07,1,0,"La Nina"
"251",1950-09-08,1,0,"La Nina"
"252",1950-09-09,1,0,"La Nina"
"253",1950-09-10,1,0,"La Nina"
"254",1950-09-11,1,0,"La Nina"
"255",1950-09-12,1,0,"La Nina"
"256",1950-09-13,1,0,"La Nina"
"257",1950-09-14,1,0,"La Nina"
"258",1950-09-15,1,0,"La Nina"
"259",1950-09-16,1,0,"La Nina"
"260",1950-09-17,1,0,"La Nina"
"261",1950-09-18,1,0,"La Nina"
"262",1950-09-19,1,0,"La Nina"
"263",1950-09-20,1,0,"La Nina"
"264",1950-09-21,1,0,"La Nina"
"265",1950-09-22,1,0,"La Nina"
"266",1950-09-23,1,0,"La Nina"
"267",1950-09-24,1,0,"La Nina"
"268",1950-09-25,1,0,"La Nina"
"269",1950-09-26,1,0,"La Nina"
"270",1950-09-27,1,0,"La Nina"
"271",1950-09-28,1,0,"La Nina"
"272",1950-09-29,1,0,"La Nina"
"273",1950-09-30,1,0,"La Nina"
"274",1950-10-01,1,0,"La Nina"
"275",1950-10-02,1,0,"La Nina"
"276",1950-10-03,1,0,"La Nina"
"277",1950-10-04,1,0,"La Nina"
"278",1950-10-05,1,0,"La Nina"
"279",1950-10-06,1,0,"La Nina"
"280",1950-10-07,1,0,"La Nina"
"281",1950-10-08,1,0,"La Nina"
"282",1950-10-09,1,0,"La Nina"
"283",1950-10-10,1,0,"La Nina"
"284",1950-10-11,1,0,"La Nina"
"285",1950-10-12,1,0,"La Nina"
"286",1950-10-13,1,0,"La Nina"
"287",1950-10-14,1,0,"La Nina"
"288",1950-10-15,1,0,"La Nina"
"289",1950-10-16,1,0,"La Nina"
"290",1950-10-17,1,0,"La Nina"
"291",1950-10-18,1,0,"La Nina"
"292",1950-10-19,1,0,"La Nina"
"293",1950-10-20,1,0,"La Nina"
"294",1950-10-21,1,0,"La Nina"
"295",1950-10-22,1,0,"La Nina"
"296",1950-10-23,1,0,"La Nina"
"297",1950-10-24,1,0,"La Nina"
"298",1950-10-25,1,0,"La Nina"
"299",1950-10-26,1,0,"La Nina"
"300",1950-10-27,1,0,"La Nina"
"301",1950-10-28,1,0,"La Nina"
"302",1950-10-29,1,0,"La Nina"
"303",1950-10-30,1,0,"La Nina"
"304",1950-10-31,1,0,"La Nina"
"305",1950-11-01,1,0,"La Nina"
"306",1950-11-02,1,0,"La Nina"
"307",1950-11-03,1,0,"La Nina"
"308",1950-11-04,1,0,"La Nina"
"309",1950-11-05,1,0,"La Nina"
"310",1950-11-06,1,0,"La Nina"
"311",1950-11-07,1,0,"La Nina"
"312",1950-11-08,1,0,"La Nina"
"313",1950-11-09,1,0,"La Nina"
"314",1950-11-10,1,0,"La Nina"
"315",1950-11-11,1,0,"La Nina"
"316",1950-11-12,1,0,"La Nina"
"317",1950-11-13,1,0,"La Nina"
"318",1950-11-14,1,0,"La Nina"
"319",1950-11-15,1,0,"La Nina"
"320",1950-11-16,1,0,"La Nina"
"321",1950-11-17,1,0,"La Nina"
"322",1950-11-18,1,0,"La Nina"
"323",1950-11-19,1,0,"La Nina"
"324",1950-11-20,1,0,"La Nina"
"325",1950-11-21,1,0,"La Nina"
"326",1950-11-22,1,0,"La Nina"
"327",1950-11-23,1,0,"La Nina"
